latitude,longitude,depth,mag,magType,gap,rms,net,horizontalError,depthError,magError,magNst,locationSource,magSource,aX,aY,aZ,gX,gY,gZ,type
38.821167,-122.8238297,2.56,0.35,2,82.0,0.02,5,0.39,0.99,0.25,12.0,5,6,-2176,996,-16868,-5168,3575,-2882,0
38.7891655,-122.769165,1.71,0.27,2,138.0,0.02,5,0.47,0.95,0.08,10.0,5,6,-2176,996,-16868,-5168,3575,-2882,0
37.2803,-117.5881,2.5,2.3,4,100.38,0.2535,7,0.0,1.9,0.74,20.0,7,8,-6564,-1340,-13532,-5136,-8924,3258,0
35.12411499,-97.58906555,1.094480872,2.11,4,53.96183777,0.655699491,8,2.102981067,1.57046736,0.22,20.0,8,9,-8,2316,-23504,-5168,5999,11,0
37.2981,-117.5797,4.0,1.7,4,103.86,0.2094,7,0.0,2.4,0.77,17.0,7,8,17064,-5608,10432,-5152,-4301,1899,0
33.2891667,-116.749,15.33,0.58,4,100.0,0.22,2,0.58,0.96,0.175,11.0,2,2,-1036,-5332,-7712,-5136,7595,-3474,0
18.903,-64.36066667,18.51,3.39,2,316.0,0.23,9,7.94,15.72,0.016435067,4.0,9,10,-3340,4108,-19352,-5152,3292,-2226,0
58.051,-155.8514,145.9,1.8,4,0.0,1.05,0,0.0,6.7,0.0,0.0,0,0,-5852,5304,-22980,-5136,1156,-3034,0
19.114,-65.7136,136.0,3.93,2,257.0,0.56,9,10.78,8.89,0.0,3.0,9,10,-2492,1232,-22876,-5152,3988,-6631,0
19.24166667,-155.3973333,31.3,1.9,2,123.0,0.1,3,0.47,0.75,0.28176893,13.0,3,4,-2652,432,-7376,-5152,-3006,6899,0
-22.9987,170.2882,12.143,6.1,9,47.0,0.6,12,7.39,3.933,0.063,24.0,12,13,-10096,7844,6196,-5120,-930,-2142,0
-23.2515,170.6168,32.825,5.1,9,82.0,0.68,12,6.16,5.076,0.098,10.0,12,13,-712,120,-9168,-5136,213,-2218,0
62.5545,-151.2304,87.1,1.3,4,0.0,0.55,0,0.0,0.8,0.0,0.0,0,0,-712,-24,-7396,-5104,-217,-50,0
37.2709,-117.5819,0.1,1.3,4,219.8,0.2552,7,0.0,25.9,0.78,7.0,7,8,-840,-1096,-11848,-5152,1700,-6562,0
37.2952,-117.5842,3.3,1.4,4,104.74,0.217,7,0.0,1.7,0.77,9.0,7,8,-1272,100,-18120,-5136,-1527,4021,0
61.7721,-151.8568,98.1,1.0,4,0.0,0.33,0,0.0,1.2,0.0,0.0,0,0,-648,0,-7472,-5120,-246,-120,0
35.9832077,-98.195755,2.744851828,1.93,4,38.75228977,0.487074039,8,1.965591501,1.787361816,0.35,13.0,8,9,-488,-892,-8352,-5136,301,-7417,0
37.3011,-117.5746,2.0,1.7,4,102.77,0.229,7,0.0,9.3,0.81,14.0,7,8,-708,4,-7384,-5136,-203,-77,0
