latitude,longitude,depth,mag,magType,gap,rms,net,horizontalError,depthError,magError,magNst,locationSource,magSource,aX,aY,aZ,gX,gY,gZ,type
38.821167,-122.8238297,0.0,0.0,2,0.0,0.0,5,0.39,0.99,0.25,12.0,5,6,-1200,-1328,-17288,-2704,70,286,3
38.7891655,-122.769165,0.0,0.0,2,0.0,0.0,5,0.47,0.95,0.08,10.0,5,6,-1224,-1300,-17192,-2768,53,268,3
37.2803,-117.5881,0.0,0.0,4,0.0,0.0,7,0.0,1.9,0.74,20.0,7,8,-1112,-1284,-17336,-2736,57,253,3
35.12411499,-97.58906555,0.0,0.0,4,0.0,0.0,8,2.102981067,1.57046736,0.22,20.0,8,9,-1148,-1364,-17172,-2736,47,279,3
37.2981,-117.5797,0.0,0.0,4,0.0,0.0,7,0.0,2.4,0.77,17.0,7,8,-1156,-1332,-17304,-2752,49,258,3
33.2891667,-116.749,0.0,0.0,4,0.0,0.0,2,0.58,0.96,0.175,11.0,2,2,-1116,-1280,-17324,-2752,69,288,3
18.903,-64.36066667,0.0,0.0,2,0.0,0.0,9,7.94,15.72,0.016435067,4.0,9,10,-1136,-1196,-17284,-2752,51,252,3
58.051,-155.8514,0.0,0.0,4,0.0,0.0,0,0.0,6.7,0.0,0.0,0,0,-1152,-1300,-17156,-2752,61,260,3
19.114,-65.7136,0.0,0.0,2,0.0,0.0,9,10.78,8.89,0.0,3.0,9,10,-1140,-1272,-17144,-2752,59,275,3
19.24166667,-155.3973333,0.0,0.0,2,0.0,0.0,3,0.47,0.75,0.28176893,13.0,3,4,-1140,-1240,-17364,-2752,55,308,3
-22.9987,170.2882,0.0,0.0,9,0.0,0.0,12,7.39,3.933,0.063,24.0,12,13,-1128,-1220,-17168,-2688,55,284,3
-23.2515,170.6168,0.0,0.0,9,0.0,0.0,12,6.16,5.076,0.098,10.0,12,13,-1172,-1280,-17260,-2752,57,290,3
62.5545,-151.2304,0.0,0.0,4,0.0,0.0,0,0.0,0.8,0.0,0.0,0,0,-1116,-1280,-17168,-2752,67,266,3
37.2709,-117.5819,0.0,0.0,4,0.0,0.0,7,0.0,25.9,0.78,7.0,7,8,-1140,-1312,-17044,-2752,68,290,3
37.2952,-117.5842,0.0,0.0,4,0.0,0.0,7,0.0,1.7,0.77,9.0,7,8,-1076,-1324,-17120,-2736,69,269,3
61.7721,-151.8568,0.0,0.0,4,0.0,0.0,0,0.0,1.2,0.0,0.0,0,0,-1188,-1124,-17104,-2736,56,281,3
35.9832077,-98.195755,0.0,0.0,4,0.0,0.0,8,1.965591501,1.787361816,0.35,13.0,8,9,-1052,-1264,-17228,-2736,76,282,3
37.3011,-117.5746,0.0,0.0,4,0.0,0.0,7,0.0,9.3,0.81,14.0,7,8,-1200,-1172,-17244,-2736,60,284,3
19.33216667,-155.1943359,0.0,0.0,4,0.0,0.0,3,0.35,0.180000007,0.25,17.0,3,4,-1148,-1396,-17276,-2736,70,266,3
38.8404999,-122.8113327,0.0,0.0,2,0.0,0.0,5,0.21,0.88,0.2,14.0,5,6,-1100,-1244,-17160,-2736,51,288,3
18.004,-66.81116667,0.0,0.0,2,0.0,0.0,9,0.42,0.52,0.104335976,6.0,9,10,-1056,-1252,-17388,-2768,87,287,3
38.7808342,-122.7655029,0.0,0.0,2,0.0,0.0,5,0.24,0.48,0.23,16.0,5,6,-1088,-1208,-17276,-2720,47,249,3
61.3938,-146.8088,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1184,-1352,-17140,-2752,43,289,3
62.3946,-148.6484,0.0,0.0,4,0.0,0.0,0,0.0,0.6,0.0,0.0,0,0,-1132,-1156,-17180,-2752,58,278,3
63.1709,-149.4112,0.0,0.0,4,0.0,0.0,0,0.0,0.6,0.0,0.0,0,0,-1176,-1240,-17324,-2768,74,268,3
33.7488333,-116.699,0.0,0.0,4,0.0,0.0,2,0.68,0.8,0.198,7.0,2,2,-1236,-1168,-17096,-2736,64,275,3
17.97966667,-66.88583333,0.0,0.0,2,0.0,0.0,9,2.61,0.8,0.085406447,4.0,9,10,-1136,-1364,-17156,-2720,82,254,3
33.9906667,-116.7838333,0.0,0.0,4,0.0,0.0,2,0.29,0.67,0.106,28.0,2,2,-1240,-1272,-17144,-2752,68,257,3
33.4746667,-116.8333333,0.0,0.0,4,0.0,0.0,2,0.77,31.61,0.195,28.0,2,2,-1080,-1232,-17204,-2752,48,293,3
33.3873333,-116.8975,0.0,0.0,4,0.0,0.0,2,0.23,0.69,0.346,19.0,2,2,-1124,-1328,-17288,-2720,67,257,3
64.6651,-149.3426,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1196,-1308,-17148,-2720,63,264,3
19.40600014,-155.2904968,0.0,0.0,2,0.0,0.0,3,0.21,0.170000002,0.939999998,13.0,3,4,-1084,-1244,-17140,-2768,56,270,3
57.3906,-154.8673,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1100,-1280,-17156,-2704,47,296,3
33.9865,-116.7831667,0.0,0.0,4,0.0,0.0,2,0.33,0.76,0.123,27.0,2,2,-1080,-1208,-17208,-2704,66,292,3
58.7245,-136.1882,0.0,0.0,4,0.0,0.0,0,0.0,0.4,0.0,0.0,0,0,-1100,-1256,-17152,-2752,63,270,3
38.7983322,-122.7491684,0.0,0.0,2,0.0,0.0,5,0.27,0.67,0.09,13.0,5,6,-1140,-1288,-17200,-2720,71,284,3
34.0286667,-117.2391667,0.0,0.0,4,0.0,0.0,2,0.43,1.12,0.174,12.0,2,2,-1140,-1208,-17200,-2736,74,271,3
60.9057,-146.8659,0.0,0.0,4,0.0,0.0,0,0.0,0.2,0.0,0.0,0,0,-1060,-1268,-17092,-2768,59,268,3
55.5248,-159.0199,0.0,0.0,4,0.0,0.0,0,0.0,2.4,0.0,0.0,0,0,-1156,-1276,-17200,-2768,75,317,3
19.20483398,-155.4798279,0.0,0.0,2,0.0,0.0,3,0.53,0.800000012,1.23000002,21.0,3,4,-1120,-1328,-17268,-2752,69,267,3
38.7531667,-122.7156667,0.0,0.0,2,0.0,0.0,5,0.28,0.34,0.305,8.0,5,6,-1080,-1268,-17180,-2752,52,262,3
17.98116667,-67.00266667,0.0,0.0,2,0.0,0.0,9,0.53,0.53,0.09751982,4.0,9,10,-1224,-1276,-17144,-2752,67,284,3
38.8176651,-122.8213348,0.0,0.0,2,0.0,0.0,5,0.22,0.46,0.2,23.0,5,6,-1080,-1296,-17148,-2752,43,305,3
36.6496,-115.6163,0.0,0.0,4,0.0,0.0,7,0.0,1.1,0.33,14.0,7,8,-1152,-1284,-17244,-2768,62,239,3
35.9515,-117.681,0.0,0.0,4,0.0,0.0,2,0.8,0.8,0.138,8.0,2,2,-1088,-1328,-17224,-2768,71,248,3
64.5901,-149.4608,0.0,0.0,4,0.0,0.0,0,0.0,0.4,0.0,0.0,0,0,-1168,-1312,-17204,-2704,65,267,3
35.1241667,-119.0896667,0.0,0.0,4,0.0,0.0,2,0.45,1.78,0.124,22.0,2,2,-1156,-1284,-17360,-2768,43,259,3
35.7121667,-117.5596667,0.0,0.0,4,0.0,0.0,2,0.43,0.59,0.132,9.0,2,2,-1032,-1204,-17172,-2720,56,275,3
35.1123333,-119.0395,0.0,0.0,4,0.0,0.0,2,0.5,1.33,0.153,28.0,2,2,-1184,-1196,-17380,-2784,73,255,3
38.7983333,-122.783,0.0,0.0,2,0.0,0.0,5,0.26,0.22,0.211,17.0,5,6,-1200,-1384,-17144,-2784,65,274,3
14.3183,-93.9789,0.0,0.0,0,0.0,0.0,12,10.66,2.007,0.063,72.0,12,13,-1100,-1260,-17172,-2752,41,256,3
54.704,-158.1896,0.0,0.0,4,0.0,0.0,0,0.0,30.4,0.0,0.0,0,0,-1096,-1200,-17384,-2752,56,295,3
38.8330002,-122.8178329,0.0,0.0,2,0.0,0.0,5,0.34,1.03,0.21,7.0,5,6,-1104,-1300,-17336,-2784,66,266,3
38.8118324,-122.8221664,0.0,0.0,2,0.0,0.0,5,0.21,0.35,0.14,26.0,5,6,-996,-1252,-17240,-2736,62,265,3
33.5398333,-116.5008333,0.0,0.0,4,0.0,0.0,2,1.08,1.77,0.161,14.0,2,2,-1092,-1268,-17224,-2752,52,257,3
33.4975,-116.443,0.0,0.0,4,0.0,0.0,2,0.22,0.8,0.204,26.0,2,2,-1228,-1256,-17092,-2752,77,246,3
32.3626667,-115.5036667,0.0,0.0,4,0.0,0.0,2,0.8,2.19,0.112,5.0,2,2,-1116,-1208,-17344,-2784,57,281,3
33.1921667,-116.0188333,0.0,0.0,4,0.0,0.0,2,0.38,0.86,0.121,27.0,2,2,-1132,-1308,-17256,-2752,92,284,3
38.7929993,-122.7806702,0.0,0.0,2,0.0,0.0,5,0.34,0.92,0.23,13.0,5,6,-1148,-1316,-17204,-2752,70,289,3
62.4162,-143.0257,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1148,-1164,-17116,-2768,44,256,3
37.1893,-117.301,0.0,0.0,4,0.0,0.0,7,0.0,22.7,1.01,8.0,7,8,-1184,-1308,-17252,-2736,51,288,3
37.3327,-117.6348,0.0,0.0,4,0.0,0.0,7,0.0,45.8,0.59,8.0,7,8,-1120,-1332,-17156,-2736,45,277,3
17.9975,-66.80566667,0.0,0.0,2,0.0,0.0,9,0.55,0.88,0.049630578,5.0,9,10,-1036,-1264,-17276,-2768,65,230,3
38.8196678,-122.822998,0.0,0.0,2,0.0,0.0,5,0.28,0.62,0.19,17.0,5,6,-1080,-1240,-17296,-2768,40,281,3
18.02533333,-66.80033333,0.0,0.0,2,0.0,0.0,9,0.36,0.87,0.167518361,9.0,9,10,-1144,-1240,-17204,-2736,48,292,3
34.54024506,-97.69837189,0.0,0.0,4,0.0,0.0,8,2.46823474,1.570072744,0.23,14.0,8,9,-1196,-1244,-17188,-2768,47,256,3
37.9414,36.3362,0.0,0.0,0,0.0,0.0,12,1.56,1.943,0.233,5.0,12,13,-1108,-1292,-17076,-2768,52,278,3
38.8178329,-122.8238297,0.0,0.0,2,0.0,0.0,5,1.07,2.84,0.17,8.0,5,6,-1032,-1204,-17160,-2768,69,269,3
19.192,-69.9519,0.0,0.0,0,0.0,0.0,12,3.93,5.239,0.066,66.0,12,13,-1052,-1352,-17152,-2768,43,260,3
-22.9954,170.9663,0.0,0.0,0,0.0,0.0,12,5.59,1.762,0.081,48.0,12,13,-1160,-1168,-17196,-2752,54,277,3
60.3525,-152.3388,0.0,0.0,4,0.0,0.0,0,0.0,0.6,0.0,0.0,0,0,-1172,-1200,-17292,-2736,59,305,3
17.91566667,-66.7945,0.0,0.0,2,0.0,0.0,9,0.6,1.02,0.123408344,5.0,9,10,-1100,-1188,-17212,-2720,51,252,3
62.0976,-149.4119,0.0,0.0,4,0.0,0.0,0,0.0,0.4,0.0,0.0,0,0,-1048,-1320,-17136,-2752,47,240,3
35.6376667,-117.449,0.0,0.0,4,0.0,0.0,2,0.26,0.63,0.159,25.0,2,2,-1200,-1276,-17120,-2752,38,279,3
37.2839,-117.5821,0.0,0.0,4,0.0,0.0,7,0.0,2.8,0.9,11.0,7,8,-1100,-1264,-17260,-2784,64,301,3
19.42933333,-155.334,0.0,0.0,4,0.0,0.0,3,0.24,0.32,0.216087221,31.0,3,4,-1104,-1228,-17140,-2752,45,254,3
19.43733333,-155.3216667,0.0,0.0,4,0.0,0.0,3,0.29,0.67,0.115364473,6.0,3,4,-1136,-1304,-17220,-2784,67,252,3
38.7801666,-122.757164,0.0,0.0,2,0.0,0.0,5,0.35,0.65,0.12,8.0,5,6,-1144,-1260,-17372,-2752,72,288,3
38.841835,-122.838501,0.0,0.0,2,0.0,0.0,5,0.32,0.6,0.35,12.0,5,6,-1124,-1284,-17148,-2752,77,298,3
61.3544,-150.0758,0.0,0.0,4,0.0,0.0,0,0.0,0.3,0.0,0.0,0,0,-1092,-1308,-17308,-2768,52,282,3
19.25966644,-155.3990021,0.0,0.0,2,0.0,0.0,3,0.57,0.860000014,0.340000004,5.0,3,4,-1116,-1224,-17224,-2768,42,284,3
62.7922,-150.6685,0.0,0.0,4,0.0,0.0,0,0.0,0.8,0.0,0.0,0,0,-1172,-1328,-17180,-2768,67,258,3
33.7306667,-116.8448333,0.0,0.0,4,0.0,0.0,2,0.29,0.47,0.219,27.0,2,2,-1192,-1280,-17260,-2736,46,292,3
58.19166667,-155.2763333,0.0,0.0,4,0.0,0.0,1,0.2,0.45,0.259095411,9.0,1,1,-1152,-1320,-17256,-2768,59,286,3
58.17933333,-155.3003333,0.0,0.0,4,0.0,0.0,1,0.24,0.52,0.230023125,6.0,1,1,-1056,-1220,-17184,-2736,41,271,3
